"name"	"size"	"type"	"directory"
".gitignore"	"60"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"README.md"	"21"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"COMMIT_EDITMSG"	"300"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"config"	"916"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"description"	"73"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"FETCH_HEAD"	"1177"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"HEAD"	"28"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"index"	"4828"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"ORIG_HEAD"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"packed-refs"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"applypatch-msg.sample"	"478"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"commit-msg.sample"	"896"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"fsmonitor-watchman.sample"	"4726"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"post-update.sample"	"189"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-applypatch.sample"	"424"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-commit.sample"	"1643"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-merge-commit.sample"	"416"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-push.sample"	"1374"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-rebase.sample"	"4898"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-receive.sample"	"544"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"prepare-commit-msg.sample"	"1492"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"push-to-checkout.sample"	"2783"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"update.sample"	"3650"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"exclude"	"240"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\info"
"HEAD"	"7115"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs"
"Home_Work_1"	"481"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_2"	"488"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_3"	"488"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_4"	"461"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_5"	"648"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_6"	"629"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_7"	"1087"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_8"	"181"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"main"	"1523"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"HEAD"	"198"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_1"	"286"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_2"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_3"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_4"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_5"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_6"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_7"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_8"	"147"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"main"	"1315"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"8d2055b7778fba6856b7ae201ca0600e77fb2d"	"154"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\01"
"e1dcef8093df9697b450973d76bb86a5506e63"	"142"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\01"
"09e78af9b915f5ac726b9c268ad2786d51baf6"	"1205"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"839d7d65df22c0a0ab14de5ed16a618758221d"	"91"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"e52c841b4c458463c23702cc56b23026f45f72"	"204"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"64f80e33989aaaa9f333a81914d896da283c4c"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\04"
"2554900fb60ddf0c1f4a05143bd79e8c4ab225"	"665"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\07"
"cb0115726c2b1e17c9b756cd6f7d62bb84d7ef"	"205"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\07"
"e05d7c034655d72cfcaa96fb405a103f0aa0d1"	"880"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\08"
"bdc8f8dee28210210860e23d26cd9260c9736a"	"926"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\0b"
"3bbc18b49d1b500ca1f29884137f8259a68beb"	"850"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\0c"
"4c569cf4c28145f16b1a9c23bcfc5649307348"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\0c"
"d78ebd32bf09554624e3d47b0f5e4c1c23710a"	"241"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\0c"
"bc6221b6811ebee3711d1b9d2d1e33cd3a5a8a"	"158"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\12"
"e1bb058cd440c815b531a30a2140654cf2e95a"	"293"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\12"
"8ad5ebb8021afae373a9504878b5a62d305476"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\13"
"b6c84176f3ef23916a69377722f0250870b8ca"	"162"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\16"
"40060b9f19b9d8582a62a43d839f3ab74cbe19"	"1189"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\17"
"43a265486be20f412cd4b4d08b3061b3d7eec5"	"157"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\19"
"53ba8c94386ea1ecd00b9471c64f2f9822def4"	"896"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\1b"
"9e2896becfeb1ab92f1fb0fcfd0ef68e1efc38"	"168"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\1b"
"eedc3b6f809b7cb1b75ef4ae7f73cd531dcccf"	"89"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\1f"
"3b11ecd519992fe131269952623cabfd1d0a14"	"200"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\23"
"8314c3c843a38e7959f54a50b81b71aa6f777a"	"97"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\23"
"1cd53403506db5b198d2074bc361de97e29383"	"199"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\24"
"c0eb26586e1089cb1b3ac030593aedde5a01da"	"199"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\25"
"1feed4793927ccd330b98a906c167699112f12"	"223"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\27"
"4fd2d398dfd8109d6ea8a9fcda16af4c9497bd"	"220"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\27"
"e8d8e034227d6c1eb11ca1d058d9744de5a75a"	"626"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2a"
"1594970cf403736773540e40a23baf714958b7"	"236"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2b"
"3f8d461704484a2ca7d039d358d929fd84c237"	"1048"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2b"
"8f1d74921c31d5a733133d6651ae02c686bc64"	"2088"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2b"
"7cf02c0fe7cdca680fbfcdadbde10a1f1751f5"	"627"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2d"
"b624559ae86fc02a85f144c7914bff38b21ec3"	"117"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2e"
"cea19ebe6df2f18f8a8ec6cd4fe56994861883"	"91"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\2f"
"3e26a7ae0d3f506c3a1b831bc1774e48c906cf"	"117"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\31"
"64b831ea3608f19fea95247b7d6c51f5b9da55"	"569"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\31"
"b00a8ca45f982ceac7c1bb08b28695dfbd8502"	"453"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\34"
"dfe039bd563850140d45b673aff27e0dfcb95f"	"91"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\34"
"c8db72ad7afb7ad750b9fe429244ae97551e45"	"106"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\36"
"84fd351223fdd036579c1c077f767d142fdff5"	"1052"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\38"
"237a1408ba156d6a04107ac13a8e627e30a9e3"	"584"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\39"
"4a836978bb3847ef269c24094501476c2c0f54"	"89"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\39"
"4371d3797789f8a8bca3a9964d329c04a67467"	"2167"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\3a"
"d454767e371608eca93726d08bef3f91ea6151"	"193"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\3c"
"d551371b7399918cff5df62506c3e9fa496307"	"220"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\3c"
"723c193bc4cd99da53ef6a6b86eeafcba20b3f"	"513"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\3d"
"d841a8f798ba7d35a2206fc189f2349e3543bb"	"463"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\40"
"098f3a32848a218668bd1e1840b88e48fdfdb0"	"90"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\41"
"288713cb0ec535eb53a387f2544325128ae8b9"	"291"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\41"
"8031384a21cab831317287e09f9e37fa29b3c0"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\41"
"d1256d5670bf2715592378977b4acf208dea7a"	"1090"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\41"
"76a7b6a6535b51674e4897f9b55410031332c7"	"535"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\42"
"96569fd926ca5f5977ae80370183d8658690e9"	"664"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\44"
"d9aca53fe9764bf7457598c78b4bfd70e436da"	"213"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\46"
"e895a506996d31cf2cb5686cd480c561ea4867"	"117"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\46"
"e39b60588a5a5019f6b725526c780adfc4e6f6"	"584"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\47"
"f2b611e3e639fa8dc375e749546b429f419dd9"	"168"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\47"
"7e4ac078b7ed3d40f9f16decc4caf371e97ca6"	"143"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\48"
"d5d65a8bd810c48d9007f592161d724ccd79fc"	"1281"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\4c"
"aae3952c1ce5c0321765b9fb6ce2277f81890a"	"351"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\4e"
"ed7dc3e62cfd9da12874ede4aa4b221de1644c"	"169"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\4f"
"6d9a48bf1936a04e362a7875e15e0f19f4eeef"	"1143"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\51"
"b7c9ccdd24db105def58453645fcb611a4fb6c"	"779"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\51"
"78784a4a43548c19a46e4d00fb269ea35bcbbf"	"173"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\52"
"06c90654b44045efc6cb11515ec0168ee4e298"	"3046"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\54"
"fdd397c88fbba47eaef9477ff3f316d3318fc4"	"162"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\54"
"20812ebe710b2959c11738d1cd38a53aeb5967"	"1272"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\57"
"8dcd749869ce6c676fbc85050c409ae81f2faf"	"99"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\57"
"07ea121f555faa375d1c980617f306ce64e45e"	"653"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\59"
"be003da5d3bc45da6dfdafbb2524861353b2df"	"971"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\59"
"0bc7cce58e8d1b60f199f35e9d2b931182acf6"	"198"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5a"
"2244cf2825059ad143155857c1b5c0ac335ec4"	"159"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5a"
"9c0a8ad22f6e7ee963c4d9cdb28b0c270e5a63"	"2028"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5a"
"5e7263ea8c1b0d1e5931ac4b28c37cbef77533"	"67"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5b"
"17daa634d0af04c2dbba34e1ab2de00c2c2ecd"	"57"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5c"
"0cb306406842bf8baa149d899ced72c65d0638"	"631"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5e"
"b7216d8b74fc4e09437945b693efde0fe9a1aa"	"626"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5e"
"372180806f7451a10640c2765c697f260af404"	"852"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5f"
"e21f8e0172018fbfcd4d28c76aef4ce9411937"	"159"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5f"
"a1c0c96c208a9be911835cb936a2bfb215aeba"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\63"
"c2ecde2918b69997978fb8debc310bddb973c1"	"489"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\63"
"a127afafd08e2eb27f3057512e348ad654ccc2"	"869"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\65"
"509e8bb6fd2ddfc1cd7177ef0fb7e3b4f43931"	"105"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\66"
"492d8be32484453db258c8967eaa8d0762c019"	"106"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\67"
"2130f053dcc8fc36da18913b08d14443998fbe"	"394"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6a"
"0464f3374d2bab0a26efd9b2c2c75a38212b07"	"282"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6b"
"af74daaf1520dbef350eb4cae384fa9b9a97f9"	"396"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6b"
"7f56581bb2534daa8764f471ae559a1ee91f6b"	"318"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6e"
"ed0ed8a45d0d85decf445f28cd5e3ff2277fde"	"714"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6e"
"4426ed3bbe159f287ecd0e1487f7fc6ad1ac56"	"723"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6f"
"9e752b98440185059b2874d6cbed97777cf38e"	"171"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\71"
"fa6e53e21ac3e6e26b1e34575aee8e86f419e6"	"2016"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\72"
"e6f94ce9c1ec444b5ecd488bade378a2850baf"	"218"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\73"
"f82655997ae5abebedc527910693eb8255ed35"	"190"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\73"
"669089210a718ec22a399785da2395e925c81c"	"61"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\78"
"25b0343e4e8fdf34bc2c664f35ff9c26116f7c"	"243"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7a"
"a0b74671748cf7ab60a0e721837bbd940fb04a"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7a"
"311787a0668d9117ab39aace29290057c5e004"	"59"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7b"
"b088775feb2879e2552c07e02cb5729b28efac"	"696"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7c"
"885fca4fef543e8444d80229bdc19c52456e43"	"622"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\7f"
"a57d41bbbecf717d54aa9bfb39a3f8ed4f401e"	"204"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\80"
"4cd5e5496afcf22c903ad4840a70b722dc67c3"	"287"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\81"
"3dda69877a39570cc733cd404c1ec88db6f835"	"65"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\83"
"6c39d9b65b630c1455e7b0b4c08d22fe593ea5"	"193"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\83"
"08f3618043d649c8dbc03334c0e8c27c09355c"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\85"
"ac4c62da71751d37055e40b10809b02c402e2f"	"158"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\85"
"6400f25a5c99cb99625bf2b475ad7a82076539"	"533"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"d7b21712ce7f81590f5712d2447e50b7d66892"	"184"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"d7f077a334340be13dcde4d3bebe3f9ba123c8"	"691"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
"f5becad694051a44bab7b1caff8b7836166360"	"243"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\87"
